07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at com.microsoft.maui.PlatformContentViewGroup.dispatchDraw(PlatformContentViewGroup.java:48)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at com.microsoft.maui.PlatformContentViewGroup.dispatchDraw(PlatformContentViewGroup.java:48)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24880)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at androidx.core.widget.NestedScrollView.draw(NestedScrollView.java:2324)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23727)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24880)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23727)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at com.microsoft.maui.PlatformContentViewGroup.dispatchDraw(PlatformContentViewGroup.java:48)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24880)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23727)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at androidx.fragment.app.FragmentContainerView.drawChild(FragmentContainerView.kt:235)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at androidx.fragment.app.FragmentContainerView.dispatchDraw(FragmentContainerView.kt:225)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at androidx.fragment.app.FragmentContainerView.drawChild(FragmentContainerView.kt:235)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at androidx.fragment.app.FragmentContainerView.dispatchDraw(FragmentContainerView.kt:225)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at androidx.fragment.app.FragmentContainerView.drawChild(FragmentContainerView.kt:235)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at androidx.fragment.app.FragmentContainerView.dispatchDraw(FragmentContainerView.kt:225)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at androidx.coordinatorlayout.widget.CoordinatorLayout.drawChild(CoordinatorLayout.java:1312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
